Peabody Essex Museum,Salem Witch Museum,The Satanic Temple at Salem Art gallery,Bewitched Statue,Witch House,Salem Maritime National Historic Site,The House of the Seven Gables,Salem Willows Park,Witch Dungeon Museum,Salem Willows Arcade,Joshua Ward House,Count Orlok’s Nightmare Gallery,Black Veil Shoppe of Drear & Wonder,Crow Haven Corner,Herb Mackey’s Metal Sculpture Yard,Harbor Sweets,Salem Witch Board Museum,New England Pirate Museum,Salem Witch Trials Memorial,witch city mall,Historic New England Phillips House,Pickering Wharf
2835,3162,4037,2612,2289,3096,3948,5239,2572,5265,2484,2609,2432,2902,3398,3347,2812,2724,3050,2724,1730,2599
2660,2986,3861,2475,2317,2920,3772,5063,2435,5089,2320,2636,3325,2726,3222,2733,2636,2548,2874,2587,2258,2423
2290,2616,3492,2105,1947,2551,3403,4693,2065,4720,1950,2267,2955,2357,2853,2364,2266,2178,2505,2217,1888,2053
2485,2811,3686,2300,2142,2746,3597,4888,2260,4915,2145,2461,3150,2551,3047,2558,2461,2373,2699,2412,2083,2248
2077,2403,3279,1893,1956,2338,3190,4481,1853,4507,1738,1922,3681,2144,2640,1595,2054,1966,2292,2005,2223,1841
2029,2355,3231,1976,2040,2290,3141,4432,1936,4459,1710,1952,3765,2096,2592,1377,2005,1917,2244,2088,2306,1792
1841,2167,3042,1897,1961,2101,2953,4244,1857,4270,1521,1763,3686,1907,2403,1189,1817,1729,2055,1926,2227,1604
2049,2375,3251,2106,2169,2310,3161,4452,2066,4479,1730,1972,3894,2116,2612,1397,2025,1937,2264,2134,2436,1812
2179,2505,3380,2235,2299,2440,3291,4582,2195,4609,1859,2101,4024,2245,2741,1527,2155,2067,2393,2264,2565,1942
2641,2967,3842,2417,2094,2901,3753,5044,2377,5070,2289,2414,2237,2707,3203,3152,2617,2529,2855,2529,1535,2404
2361,2687,3563,2176,2018,2622,3474,4764,2136,4791,2021,2338,2346,2428,2924,2435,2337,2249,2576,2288,1959,2124
2086,2412,3288,1901,1743,2347,3198,4489,1861,4516,1746,2063,2751,2153,2648,2160,2062,1974,2301,2013,1684,1849
2151,2477,3353,1966,1808,2412,3264,4554,1926,4581,1811,2128,2816,2218,2714,2225,2127,2039,2366,2078,1749,1914
1836,2162,3038,1651,1714,2097,2948,4239,1611,4266,1496,1680,3440,1903,2398,1300,1812,1724,2050,1763,1981,1599
1817,2143,3018,1873,1937,2077,2929,4220,1833,4246,1497,1739,3662,1883,2379,1165,1793,1705,2031,1902,2203,1580
1623,1949,2825,1680,1743,1884,2736,4027,1640,4053,1304,1546,3469,1690,2186,971,1600,1512,1838,1709,2010,1387
1615,1941,2817,1901,1965,1876,2728,4018,1861,4045,1525,1767,3690,1682,2178,907,1592,1503,1907,1930,2231,1608
2337,2663,3539,2114,1790,2598,3450,4740,2074,4767,1986,2110,1933,2404,2900,2849,2314,2225,2552,2226,1232,2100
2353,2679,3555,2130,1806,2614,3465,4756,2089,4783,2001,2126,1949,2420,2915,2490,2329,2241,2567,2242,1248,2116
1923,2249,3125,1738,1580,2184,3036,4326,1698,4353,1583,1900,2588,1990,2486,1997,1900,1811,2138,1850,1521,1686
1619,1945,2821,1434,1498,1880,2731,4022,1394,4049,1279,1464,3223,1686,2182,1083,1595,1507,1834,1546,1764,1382
1621,1947,2823,1528,1591,1912,2764,4054,1488,4081,1302,1544,3316,1688,2214,943,1598,1510,1943,1640,1858,1385
1407,1733,2608,1463,1527,1667,2519,3810,1423,3836,1087,1329,3252,1473,1969,755,1383,1295,1621,1492,1793,1170
1393,1719,2595,1763,1827,1654,2505,3796,1723,3823,1387,1485,3552,1460,1955,684,1369,1281,1684,1792,2093,1470
2123,2449,3324,1899,1576,2383,3235,4526,2013,4552,1771,1896,1493,2189,2685,2634,2099,2011,2337,2011,1017,1886
2116,2442,3318,1893,1570,2377,3229,4520,1853,4546,1765,1890,1713,2183,2679,2628,2093,2005,2331,2005,1011,1880
1941,2267,3142,1717,1394,2201,3053,4344,1677,4370,1589,1714,1802,2007,2503,1914,1917,1829,2155,1829,941,1704
1563,1889,2765,1378,1220,1824,2676,3966,1338,3993,1223,1540,2228,1630,2126,1637,1540,1451,1778,1490,1161,1326
1455,1781,2657,1271,1334,1716,2568,3859,1231,3885,1116,1300,2579,1522,2018,1529,1432,1344,1670,1383,1215,1219
1343,1669,2545,1400,1463,1604,2456,3746,1360,3773,1024,1266,3189,1410,1906,691,1320,1231,1558,1428,1730,1107
1190,1516,2391,1246,1310,1451,2302,3593,1206,3620,870,1112,3035,1256,1752,538,1166,1078,1404,1275,1576,953
1034,1360,2236,1608,1616,1295,2146,3437,1512,3464,1175,1126,3341,1101,1596,325,1010,922,1325,1429,1882,812
2339,2738,3095,2041,1705,2673,3525,4816,1841,4842,1900,2024,1321,2479,2975,2924,2363,2300,2627,2153,1191,2176
1864,2190,3066,1641,1317,2125,2977,4267,1601,4294,1513,1637,1460,1931,2427,2090,1840,1752,2079,1753,759,1627
1715,2041,2917,1492,1168,1976,2828,4118,1452,4145,1364,1488,1840,1782,2278,2227,1692,1603,1930,1604,774,1478
1648,1974,2850,1425,1101,1909,2761,4051,1385,4078,1297,1421,1968,1715,2211,1548,1625,1536,1863,1537,901,1412
1239,1565,2441,1054,1117,1500,2351,3642,1014,3669,899,1084,2362,1306,1801,1313,1215,1127,1453,1166,999,1002
1206,1532,2408,1022,1085,1467,2319,3610,982,3636,867,1051,2811,1273,1769,1280,1183,1095,1421,1134,1352,970
1051,1377,2253,1107,1171,1312,2163,3454,1067,3481,731,973,2896,1118,1613,464,1027,939,1265,1136,1437,814
807,1133,2009,1382,1389,1068,1920,3211,1286,3237,949,899,3115,874,1370,163,784,696,1099,1202,1656,586
1534,1861,2736,2109,2314,1795,2647,3938,2211,3964,1818,1626,4266,1601,2097,1235,1511,1423,1826,1929,2581,1313
2166,2565,2922,1868,1532,2500,3352,4643,1668,4669,1727,1851,1148,2306,2802,2751,2190,2128,2454,1980,1018,2003
1625,2025,2614,1327,991,1959,2811,4102,1241,4128,1186,1311,1179,1765,2261,2210,1649,1587,1913,1439,478,1462
1433,1759,2635,1210,887,1694,2546,3837,1170,3863,1082,1206,1627,1500,1996,1945,1410,1322,1648,1322,560,1197
1324,1650,2526,1101,777,1585,2437,3727,1061,3754,973,1097,1871,1391,1887,1375,1300,1212,1539,1213,608,1087
1043,1369,2245,858,922,1304,2156,3446,818,3473,703,888,2154,1110,1606,1117,1020,931,1258,970,866,806
1118,1444,2319,933,996,1378,2230,3521,893,3547,778,962,2722,1184,1680,897,1094,1006,1332,1045,1263,881
831,1157,2033,918,1000,1092,1943,3234,896,3261,511,753,2725,898,1393,670,807,719,1045,916,1266,594
576,902,1778,1124,1206,837,1688,2979,1102,3006,718,668,2931,643,1138,391,552,464,867,971,1472,354
775,1101,1976,1349,1554,1036,1887,3178,1451,3205,1058,867,3506,841,1337,468,751,663,1066,1170,1821,553
1886,2412,2709,1660,1709,2220,3072,4659,1455,4686,1447,1572,935,2026,2522,2471,1910,1848,2174,1837,738,1723
1640,2039,2629,1342,1005,1974,2825,4116,1256,4143,1201,1325,1193,1780,2275,2225,1663,1601,1928,1454,492,1476
1301,1627,2503,1078,754,1562,2414,3704,1038,3731,950,1074,1842,1368,1864,1813,1278,1189,1516,1190,351,1065
1093,1419,2294,869,546,1354,2205,3496,829,3523,741,866,1892,1159,1655,1604,1069,981,1307,981,348,856
935,1261,2137,712,775,1196,2048,3338,672,3365,557,741,2045,1002,1498,1447,912,823,1150,824,587,699
623,949,1825,546,609,884,1736,3026,506,3053,268,510,2562,690,1186,1135,600,511,838,658,876,386
419,745,1621,730,819,680,1531,2822,716,2849,323,341,2771,486,981,931,395,307,634,728,1086,182
388,714,1589,962,1167,649,1500,2791,1064,2818,671,480,3119,455,950,680,364,276,679,783,1434,166
1974,2067,2364,1315,1364,2235,3087,4314,1110,4341,1462,1586,1165,2041,2537,2486,1951,1862,2189,1492,753,1737
1502,1793,2089,1040,1089,1844,2824,4039,835,4066,1234,1358,1198,1591,2322,2272,1525,1613,1975,1217,617,1524
1796,2122,2205,1425,1205,2057,2908,4155,951,4182,1284,1408,1421,1863,2358,2308,1772,1684,2011,1537,575,1559
1433,1611,2239,1135,798,1762,2790,3828,985,3854,994,1118,1732,1431,2240,2189,1456,1544,1892,1247,367,1441
766,944,1755,468,485,1095,2144,3161,382,3187,327,451,2150,764,1562,1543,789,877,902,580,382,795
555,733,1544,305,436,884,1861,2950,332,2976,116,240,2388,553,1351,1260,578,666,691,418,834,526
137,632,1508,498,743,679,1544,2755,639,2782,274,81,2695,373,994,944,282,194,646,318,1141,210
422,748,1624,997,1225,479,1331,2621,1121,2648,729,514,3177,489,781,928,429,311,66,817,1491,224
439,587,1334,948,1193,181,1033,2323,1089,2350,724,531,3145,467,483,1017,398,467,402,768,1591,312
709,832,1689,1218,1463,379,958,2287,1359,2313,994,801,3415,711,408,1595,669,737,672,1038,1861,890
2053,2147,2443,1394,1443,2314,3166,4393,1189,4420,1541,1666,1302,2120,2616,2565,2030,1942,2268,1571,832,1817
2042,2135,2432,1383,1432,2303,3155,4382,1178,4409,1530,1654,1479,2109,2605,2554,2019,1930,2257,1560,821,1805
2145,1573,1869,821,869,2406,3258,3820,615,3846,1633,1757,1582,2212,2708,2657,2122,2033,2360,997,924,1909
1167,1323,1619,869,619,1673,2524,3570,365,3596,728,852,1703,1166,1974,1924,1191,1279,1627,981,564,1175
695,873,1460,347,152,1025,2308,3091,179,3117,491,615,2065,694,1492,1708,719,807,832,459,715,959
570,748,1372,95,493,899,1913,2965,292,2992,450,725,2268,568,1366,1540,593,682,706,334,1044,807
204,805,1102,416,859,534,1837,3157,658,3184,552,359,2634,203,1001,1174,228,316,340,237,1419,441
146,282,1143,652,962,268,1292,2344,859,2371,493,301,3104,88,745,1116,511,258,514,473,1361,383
483,473,1220,914,1237,200,1070,2122,1133,2148,768,575,3295,353,523,1369,442,511,446,734,1635,644
639,762,1444,1148,1393,309,991,2042,1289,2069,924,731,3345,642,444,1525,599,668,602,968,1791,821
1281,1272,1591,1739,2034,951,639,1924,1931,1951,1566,1373,4045,1262,89,2167,1240,1309,1244,1560,2433,1607
1279,1332,1651,1799,2032,948,159,1984,1929,2010,1563,1370,4105,1322,468,2164,1238,1307,1241,1620,2430,1667
2227,2462,2758,1710,1759,2630,3481,4709,1504,4736,1788,1912,1538,2436,2931,2881,2251,2257,2584,1887,1148,2132
1959,2226,2522,1661,1523,2465,3317,4473,1268,4500,1520,1645,1642,1958,2767,2716,1983,2071,2419,1773,1163,1967
1672,1939,2235,1374,1235,2177,3029,4186,981,4212,1233,1357,1687,1670,2479,2428,1695,1784,2131,1486,1068,1680
1407,1372,1668,620,668,1913,2764,3619,414,3645,968,1092,1984,1406,2214,2164,1431,1519,1867,796,804,1415
600,787,1084,532,586,839,1819,3034,385,3061,948,755,2361,586,1317,1570,624,712,1085,379,1137,837
339,426,873,707,1155,578,1602,2654,1052,2681,686,493,2464,324,1055,1309,362,451,824,528,1553,575
365,266,929,734,1181,485,1365,2561,1078,2587,712,520,2816,318,962,1335,389,477,731,554,1580,602
1028,712,1086,1180,1782,698,985,2139,1678,2165,1313,1120,3540,804,600,1914,987,1056,991,1001,2180,1048
718,775,1199,1227,1472,388,682,1797,1368,1824,1003,810,3424,654,290,1604,678,746,681,1047,1870,899
999,989,1309,1457,1752,668,501,1763,1649,1789,1283,1091,3763,979,226,1884,958,1027,961,1277,2151,1325
1297,1287,1607,1755,2050,966,1064,1385,1947,1412,1581,1388,4061,1277,725,2182,1256,1325,1259,1575,2448,1623
2273,2540,2837,1975,1837,2779,3631,4787,1582,4814,1834,1959,1595,2272,3081,3030,2297,2385,2733,2087,1670,2281
2008,2275,2571,1710,1571,2514,3365,4522,1317,4548,1569,1693,1859,2006,2815,2764,2031,2120,2467,1822,1404,2016
1711,1978,2275,1413,1275,2217,3069,4225,1021,4252,1272,1397,2359,1710,2519,2468,1735,1823,2171,1525,1108,1720
1612,1879,2175,1314,1175,2117,2969,4126,921,4152,1173,1297,2259,1610,2419,2368,1635,1724,2071,1426,1008,1620
1340,1631,1928,879,928,1683,2663,3878,674,3905,1136,1260,2297,1430,2161,2353,1364,1452,1477,1056,1156,1604
619,520,816,790,929,746,1551,2701,728,2728,967,774,2704,579,1365,1589,643,731,992,636,1834,856
589,490,628,958,1406,572,1171,2186,1302,2213,937,744,2957,519,785,1559,613,701,818,778,1804,826
1114,1104,1424,1572,1867,783,1177,1582,1764,1608,1398,1206,3878,1094,685,2000,1073,1142,1076,1392,2266,1295
1347,1338,1657,1805,2100,1017,1114,1466,1997,1493,1632,1439,4111,1327,775,2233,1306,1375,1309,1626,2499,1673
2282,2549,2845,1984,1846,2788,3639,4796,1591,4823,1843,1968,1786,2281,3090,3039,2306,2394,2742,2096,1679,2290
2044,2311,2607,1746,1607,2549,3401,4557,1353,4584,1605,1729,2066,2042,2851,2800,2067,2155,2503,1858,1440,2052
1899,2166,2463,1601,1463,2405,3257,4413,1209,4440,1460,1585,2109,1898,2707,2656,1923,2011,2359,1713,1296,1907
1888,2179,2475,1426,1475,2230,3210,4425,1221,4452,1702,1826,2845,1977,2708,2898,1911,1999,2601,1603,1538,2149
929,830,640,916,1056,927,1495,2510,855,2536,1276,1083,2831,874,1173,1899,952,1040,1173,763,1607,1165
823,724,376,1192,1639,821,1389,2404,1133,2431,1170,978,3108,768,1003,1793,846,935,1067,1012,2038,1060
1100,1000,465,1468,1916,1134,1422,2373,1812,2399,1447,1254,3488,990,1036,2070,1424,1493,1427,1289,2314,1336
1209,1199,1519,1667,1962,878,1272,1413,1859,1440,1493,1301,3973,1189,780,2095,1168,1237,1171,1487,2361,1390
1334,1325,1644,1793,2088,1004,1293,1139,1984,1165,1619,1426,4099,1315,954,2220,1293,1362,1297,1613,2486,1515
