T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003
1706,1121,3922,1908,3049,3031,2156,3526,2558,2557,2821,5104,2748
2557,2032,2377,2801,2874,2649,1775,3350,2585,2419,1883,4928,2402
2187,1662,2149,2431,2504,2279,1405,2980,2216,2050,1656,4559,2032
2382,1857,2152,2626,2699,2474,1600,3175,2410,2245,1659,4753,2227
2671,2448,1005,3158,2291,812,1231,2768,1995,1837,959,4346,1820
2755,2532,787,3242,2243,594,1314,2719,2079,1921,901,4298,1590
2676,2453,486,3162,2055,405,1712,2531,2000,1842,602,4109,1401
2884,2661,279,3371,2263,614,1822,2739,2208,2050,763,4318,1610
3014,2791,285,3501,2393,743,1952,2869,2338,2180,928,4447,1740
3455,3232,293,3942,2834,1185,2411,3310,2779,2621,947,4888,2181
3602,3379,441,4089,2981,1332,2559,3458,2926,2768,1094,5036,2328
3575,3353,414,4062,2954,1305,2532,3431,2900,2742,1068,5009,2301
1511,926,3727,1713,2855,2836,1961,3331,2363,2362,2627,4909,2553
1620,1035,3241,1822,2575,2350,1476,3051,2287,2121,2209,4630,2103
1983,1458,2966,2227,2300,2075,1201,2776,2012,1846,1934,4355,1828
2048,1523,3031,2292,2365,2140,1266,2841,2077,1911,1950,4420,1893
2429,2207,1987,2916,2050,854,938,2526,1753,1596,1333,4104,1578
2651,2429,945,3138,2031,381,1192,2507,1976,1818,1060,4085,1377
2458,2236,703,2945,1837,188,1495,2314,1782,1625,819,3892,1184
2679,2457,689,3166,1906,409,1588,2306,2004,1846,1022,3884,1119
2855,2632,707,3342,2272,585,1763,2671,2179,2021,1041,4249,1485
2778,2556,1134,3265,1704,508,1815,2104,2102,1945,1454,3682,917
3457,3235,296,3944,2837,1187,2414,3313,2782,2624,950,4891,2183
3609,3387,448,4096,2988,1339,2566,3465,2933,2776,1101,5043,2335
1207,622,3424,1410,2551,2532,1658,3028,2059,2058,2657,4606,2250
1223,638,3297,1426,2567,2405,1531,3043,2075,2074,2264,4622,2265
1820,1295,2804,2065,2137,1912,1038,2613,1849,1683,2134,4192,1665
1769,1245,2753,2014,2086,1862,987,2563,1798,1632,2131,4141,1615
2213,1990,1448,2699,1833,637,722,2309,1537,1379,1550,3888,1361
2306,2083,1164,2793,1942,334,947,2312,1630,1472,1280,3890,1155
2242,2019,920,2728,1621,29,1278,2097,1566,1408,1036,3675,967
2541,2319,897,3028,1684,271,1578,2083,1866,1708,1217,3662,897
2769,2546,1124,3256,1694,499,1806,2094,2093,1935,1444,3672,908
2778,2556,1134,3265,1704,508,1815,2104,2102,1945,1454,3682,917
2778,2556,1134,3265,1481,508,1815,1881,2102,1945,1454,3459,702
2679,2456,2387,3274,1475,1615,1730,1874,2002,1845,2622,3453,695
1078,408,3209,970,2337,2318,1444,2813,1845,1844,3325,4391,2035
987,402,3203,1189,2330,2312,1437,2807,1839,1838,3319,4385,2029
1076,491,2721,1279,2155,1830,956,2631,1663,1662,2837,4209,1583
1460,935,2444,1705,1777,1552,678,2253,1489,1323,2559,3832,1305
1663,1286,2336,2055,1669,1445,570,2146,1373,1215,2452,3724,1198
2178,1956,1321,2665,1557,430,1048,2034,1502,1344,1437,3612,904
2025,1802,1137,2512,1404,246,1239,1880,1349,1191,1253,3458,751
2331,2108,1256,2818,1325,630,1939,1724,1655,1497,1576,3302,538
2827,2603,2535,3421,1622,1763,1878,2022,2150,1992,2770,3600,843
2686,2462,2394,3280,1481,1622,1737,1881,2009,1851,2629,3459,702
2679,2456,2387,3274,1475,1615,1730,1874,2002,1845,2622,3453,695
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122
907,928,3635,798,2626,2743,1870,3103,1943,1940,3751,4681,2325
734,149,2897,937,2078,2005,1131,2554,1586,1585,3013,4133,1777
1073,548,2802,1317,1929,1910,1036,2406,1437,1436,2917,3984,1628
1200,675,2354,1445,1862,1463,589,2339,1370,1370,2470,3917,1561
1447,1070,2119,1839,1453,1228,354,1929,1156,999,2235,3508,981
1800,1577,2087,2287,1420,1196,1374,1897,1124,966,2203,3475,949
1886,1663,1417,2373,1265,525,1494,1741,1210,1052,1532,3319,655
2104,1882,1622,2591,1098,744,1713,1498,1428,1271,1751,3076,312
3030,2806,2738,3624,1825,1966,2081,2225,2353,2195,2973,3803,1046
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122
2553,2385,2915,3147,1045,2090,1659,1255,1876,1718,3097,2833,1122
734,755,3462,625,2453,2570,1697,2930,1770,1767,3578,4508,2152
453,252,2921,655,1913,2030,1156,2389,1260,1226,3037,3967,1611
859,334,2520,1103,1647,1628,754,2124,1155,1155,2636,3702,1346
1056,638,2182,1348,1538,1291,416,2014,1046,1045,2298,3593,1237
1315,861,1924,1630,1257,1032,158,1733,961,803,2039,3312,785
1711,1489,1704,2198,1332,812,1395,1808,1035,877,1820,3386,566
1715,1492,1690,2202,1045,799,766,1521,1039,881,1806,3100,503
1921,1698,1710,2408,867,938,972,1266,1245,1087,1946,2845,80
2270,2047,1971,2864,1065,1199,1321,1465,1593,1435,2206,3043,279
2425,2257,2788,3019,918,1962,1531,1127,1748,1590,2969,2706,994
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554
157,475,3182,411,2173,2291,1417,2650,1557,1470,3298,4525,1872
98,404,2935,669,1927,2044,1170,2403,1274,1240,3051,3982,1625
799,742,2524,1318,1515,1632,816,1992,1023,1023,2640,3570,1214
797,952,2315,1369,1307,1424,597,1783,815,814,2431,3361,1005
1035,812,2035,1522,1149,1143,269,1626,814,657,2151,3204,848
1325,1102,1888,1920,837,997,376,1313,648,491,2004,2892,536
1535,1311,1908,2129,633,1016,586,1109,858,700,2024,2688,456
1883,1660,1999,2477,679,1228,934,1078,1206,1049,2235,2656,206
2113,1889,2507,2707,537,1594,1164,912,1436,1278,2601,2490,713
2228,2060,2591,2822,721,1765,1334,930,1551,1393,2772,2508,797
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554
504,893,3197,492,2188,2305,1489,2665,1212,1125,3313,4180,1887
291,979,2983,556,1975,2092,1276,2451,937,850,3099,3905,1673
326,715,3018,897,2010,2127,1311,2486,1053,966,3134,4021,1708
637,1026,2900,1209,1891,2009,1182,2368,1067,1033,3016,3704,1590
957,1088,2297,1508,1246,1406,605,1722,524,366,2413,3037,944
1152,1294,2185,1746,690,1293,568,1438,475,317,2300,2826,720
1459,1536,2168,2053,646,1276,810,1122,782,624,2284,2621,469
1941,1717,2248,2535,432,1422,991,908,1264,1106,2429,2487,454
1909,1806,2336,2503,401,1511,1080,611,1232,1074,2518,2189,543
2179,2384,2915,2773,671,2089,1658,536,1502,1344,3096,2152,1121
2556,2761,3292,3741,1048,2466,2035,27,2470,1721,3473,2127,1498
2612,2817,3348,3797,1104,2522,2091,122,2526,1777,3529,2183,1554
583,972,3276,629,2267,2384,1568,2744,1291,1204,3392,4259,1966
572,961,3265,837,2256,2373,1557,2733,1280,1193,3380,4248,1955
675,1064,3368,940,2359,2476,1660,2836,1383,631,3484,3685,2058
808,1181,2634,1062,1626,1743,917,2102,431,381,2750,3435,1324
959,1331,2461,1423,1410,1570,770,1886,541,164,2577,2967,1108
1305,1531,2896,1626,705,2005,805,1719,355,277,3012,2841,1066
1670,1934,2531,1992,340,1639,1209,1353,721,643,2646,3023,700
1678,1876,2472,2462,513,1581,1151,965,1001,843,2588,2209,642
1953,2138,2734,2653,445,1843,1412,742,1382,1118,2850,1987,895
2109,2314,2845,2703,601,2019,1588,615,1432,1274,3026,1908,1051
2750,3101,3697,3404,1243,2806,2375,431,2132,1916,3813,1789,1692
2748,3161,3484,3463,1240,2866,2435,1166,2192,1913,3873,1849,1690
899,1288,3591,865,2583,2700,1884,3059,1607,1520,3707,4574,2281
914,1303,3427,969,2418,2535,1709,2894,1266,1284,3542,4338,2117
959,1348,3139,1013,2131,2248,1421,2607,979,996,3255,4051,1829
1048,1420,2874,1342,1866,1983,1156,2342,765,430,2990,3484,1564
1028,1773,2800,1349,1622,1909,1203,2225,718,383,2916,3438,1448
1398,1799,2927,1719,1084,2035,1073,1536,448,370,3043,2900,1096
1871,2069,2665,1822,862,1774,1343,1314,551,1036,2781,2558,835
1897,2095,2692,2174,730,1800,1370,1182,903,1062,2807,2426,861
2498,2542,3138,2898,990,2247,1816,916,1627,1663,3254,2004,1440
2188,2393,2924,2782,680,2098,1667,606,1511,1353,3105,1663,1130
2468,2819,3415,3121,961,2524,2093,887,1850,1633,3531,1628,1410
2766,3116,3713,3419,1258,2821,2391,1184,2148,1931,3829,1496,1708
1305,1799,3741,922,2732,2849,2023,3208,1580,1598,3856,4652,2431
1266,1655,3475,1186,2467,2584,1757,2943,1315,1333,3591,4387,2165
1352,1725,3179,1463,2170,2287,1461,2647,1019,1036,3295,4091,1869
1252,1625,3079,1363,2071,2188,1361,2547,919,936,3195,3991,1769
1334,2079,3106,1655,1928,2215,1509,2531,1024,689,3222,3744,1753
1586,1987,3030,1907,1187,2138,1261,1639,636,558,3145,3003,1199
1740,2349,2946,2062,991,2054,1624,1681,791,713,3061,2567,1115
2122,2320,2916,2315,817,2024,1594,1287,1044,1287,3032,2052,1085
2219,2417,3014,2635,1014,2122,1692,940,1364,1385,3129,1826,1183
2361,2567,3097,3014,854,2272,1841,780,1743,1527,3279,1446,1303
2583,2788,3319,3236,1076,2493,2063,1002,1965,1748,3501,1447,1525
2816,3167,3763,3469,1309,2872,2441,1235,2198,1982,3879,1332,1758
1923,1990,3749,1113,2741,2858,2032,3217,1589,1607,3865,4661,2439
1684,2057,3511,1393,2502,2620,1793,2979,1351,1368,3627,4423,2201
1540,1913,3367,1436,2358,2475,1649,2835,1207,1224,3483,4279,2057
1782,2155,3608,2203,2600,2717,1891,3076,1571,1236,3724,4291,2298
1555,2300,3327,1877,2149,2436,1730,2752,1245,910,3443,3965,1975
1726,2127,3169,2047,1327,2278,1401,1779,776,698,3285,3142,1338
1867,2659,3255,2189,1172,2364,1933,1489,918,840,3371,2375,1424
2145,2553,3149,2466,1066,2258,1827,1320,1195,1520,3265,2269,1319
2632,2830,3426,2846,1426,2535,2104,1352,1575,1797,3542,2238,1595
2767,2965,3561,2981,1561,2670,2239,1487,1710,1932,3677,2373,1730
2678,2883,3414,3331,1171,2588,2158,1097,2060,1843,3596,1278,1620
2804,3009,3540,3457,1296,2714,2283,1222,2186,1969,3721,1004,1746
